mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
842400.0,444,3.395878378378378,0.5702648852514624,1.3,5.185,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
843400.0,445,3.455038202247191,0.7313107114253217,1.0,6.049,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
844400.0,443,3.2404198645598195,0.5812966390672938,1.3,4.36,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
845400.0,446,2.936809417040359,0.5994334006366022,1.1,4.3,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
846400.0,445,3.2188898876404495,0.5933056760518541,1.6,4.68,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
847400.0,446,3.1310134529147984,0.597704909942335,1.4,4.56,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
848400.0,444,2.946522522522523,0.4896611413535244,1.4,4.524,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
849400.0,439,2.8688268792710705,0.47278426457356443,1.4,3.87,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
850400.0,440,2.602863636363636,0.37372472242381294,1.4,3.9,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
851400.0,444,3.3070585585585586,0.6134703792928394,1.1,5.306,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
852400.0,446,3.2389798206278027,0.7495108499539013,0.93,5.878,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
853400.0,446,3.285522421524664,0.8987202302747705,1.0,5.098,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
854400.0,445,3.0530606741573036,0.7228019387818154,0.86,5.697,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
855400.0,446,2.905139013452915,0.6823375311929799,1.02,6.291,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
856400.0,444,2.814054054054054,0.7399280861626573,0.87,6.596,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
857400.0,446,3.2905470852017937,0.656803396970801,1.02,5.2,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
858400.0,445,2.981696629213483,0.6962545486369339,1.06,5.464,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
859400.0,446,3.3657690582959643,0.6803601842068236,1.5,5.454,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
860400.0,445,3.3566831460674154,0.6414928435270237,1.3,5.11,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
861400.0,442,3.031461538461538,0.5213466511994705,1.4,4.3,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
862400.0,446,2.634735426008969,0.5090364256635178,0.91,3.99,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
863400.0,445,3.367047191011236,0.6253613874273902,1.5,4.57,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
864400.0,446,3.057986547085202,0.6750379397066003,1.4,6.446,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
865400.0,445,2.9389348314606742,0.6413936211680221,1.09,4.45,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
866400.0,446,3.0929730941704032,0.6012448540780604,1.29,4.725,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
867400.0,446,2.9480829596412557,0.5611329509196993,1.01,4.765,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
868400.0,447,3.1178590604026843,0.7152720485311008,1.05,5.867,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
869400.0,447,3.349865771812081,0.7560797315215717,1.3,5.03,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
870400.0,445,2.7845662921348318,0.5078221502146284,1.6,4.594,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
871400.0,445,3.1039213483146066,0.8497101310817962,1.1,6.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
872400.0,446,3.347995515695067,0.9200364599407436,1.1,6.71,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
873400.0,447,3.2367539149888143,0.9087761628664555,1.1,6.08,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
874400.0,448,3.363513392857143,0.8433430227131382,1.4,7.175,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
875400.0,448,3.0070959821428573,0.8750834423272301,1.1,6.468,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
876400.0,448,3.2769799107142856,0.5860755019642746,1.0,5.008,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
877400.0,443,2.7610722347629797,0.5160557330920871,1.2,4.43,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
878400.0,446,2.6686210762331837,0.5985167339458612,1.0,4.973,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
879400.0,446,2.9419910313901343,0.41322350228506105,1.7,3.745,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
